   1.00000012      0.641462445    	   1.00000012      0.337562144    	   1.00000012      0.235274687    
   1.01000011      0.640155196    	   1.01000011      0.338636309    	   1.01000011      0.228861228    
   1.02000010      0.638448536    	   1.02000010      0.340135157    	   1.02000010      0.235416114    
   1.03000009      0.637504399    	   1.03000009      0.340861768    	   1.03000009      0.233197197    
   1.04000008      0.636581063    	   1.04000008      0.341598660    	   1.04000008      0.248571932    
   1.05000007      0.635470927    	   1.05000007      0.342473716    	   1.05000007      0.242676497    
   1.06000006      0.634672046    	   1.06000006      0.343047976    	   1.06000006      0.239280656    
   1.07000005      0.633333683    	   1.07000005      0.344161868    	   1.07000005      0.237960145    
   1.08000004      0.631979764    	   1.08000004      0.345308423    	   1.08000004      0.219852254    
   1.09000003      0.630200446    	   1.09000003      0.346895784    	   1.09000003      0.232680798    
   1.10000002      0.629173338    	   1.10000002      0.347714514    	   1.10000002      0.238434806    
   1.11000013      0.628234386    	   1.11000013      0.348448575    	   1.11000013      0.232964739    
   1.12000012      0.627020538    	   1.12000012      0.349449098    	   1.12000012      0.239142478    
   1.13000011      0.626008987    	   1.13000011      0.350215852    	   1.13000011      0.219854414    
   1.14000010      0.624826193    	   1.14000010      0.351184547    	   1.14000010      0.210565850    
   1.15000010      0.623612344    	   1.15000010      0.352185488    	   1.15000010      0.210236400    
   1.16000009      0.622605979    	   1.16000009      0.352990448    	   1.16000009      0.226176843    
   1.17000008      0.621615171    	   1.17000008      0.353811294    	   1.17000008      0.227261111    
   1.18000007      0.620920062    	   1.18000007      0.354341537    	   1.18000007      0.220517114    
   1.19000006      0.620121181    	   1.19000006      0.354971796    	   1.19000006      0.222970665    
   1.20000005      0.618538976    	   1.20000005      0.356367737    	   1.20000005      0.218299285    
   1.21000004      0.616993129    	   1.21000004      0.357706219    	   1.21000004      0.213254556    
   1.22000003      0.615841508    	   1.22000003      0.358651906    	   1.22000003      0.221364588    
   1.23000014      0.614804029    	   1.23000014      0.359522253    	   1.23000014      0.224759877    
   1.24000013      0.613761306    	   1.24000013      0.360367507    	   1.24000013      0.244331345    
   1.25000012      0.612739384    	   1.25000012      0.361197025    	   1.25000012      0.246688426    
   1.26000011      0.611764133    	   1.26000011      0.362016112    	   1.26000011      0.226267874    
   1.27000010      0.610539913    	   1.27000010      0.363106966    	   1.27000010      0.209808871    
   1.28000009      0.609351993    	   1.28000009      0.364145070    	   1.28000009      0.207734093    
   1.29000008      0.607873559    	   1.29000008      0.365476936    	   1.29000008      0.203538463    
   1.30000007      0.606727123    	   1.30000007      0.366436124    	   1.30000007      0.202734336    
   1.31000006      0.605777800    	   1.31000006      0.367171586    	   1.31000006      0.200708330    
   1.32000005      0.605046391    	   1.32000005      0.367705256    	   1.32000005      0.196086258    
   1.33000004      0.604242325    	   1.33000004      0.368335128    	   1.33000004      0.195000365    
   1.34000015      0.603474557    	   1.34000015      0.368932724    	   1.34000015      0.183966458    
   1.35000014      0.602551222    	   1.35000014      0.369675547    	   1.35000014      0.165621787    
   1.36000013      0.601643384    	   1.36000013      0.370407432    	   1.36000013      0.173922002    
   1.37000012      0.600875616    	   1.37000012      0.371000946    	   1.37000012      0.174488246    
   1.38000011      0.599760354    	   1.38000011      0.371962845    	   1.38000011      0.180289954    
   1.39000010      0.599013329    	   1.39000010      0.372514307    	   1.39000010      0.193257198    
   1.40000010      0.598354518    	   1.40000010      0.373002559    	   1.40000010      0.187266394    
   1.41000009      0.597176969    	   1.41000009      0.374007404    	   1.41000009      0.189153686    
   1.42000008      0.596196532    	   1.42000008      0.374821424    	   1.42000008      0.187643528    
   1.43000007      0.595242023    	   1.43000007      0.375635684    	   1.43000007      0.195755720    
   1.44000006      0.593888104    	   1.44000006      0.376861215    	   1.44000006      0.199529782    
   1.45000005      0.593156695    	   1.45000005      0.377441466    	   1.45000005      0.205894470    
   1.46000016      0.592176259    	   1.46000016      0.378255814    	   1.46000016      0.214241832    
   1.47000015      0.591304779    	   1.47000015      0.378996491    	   1.47000015      0.206695884    
   1.48000014      0.590251684    	   1.48000014      0.379913718    	   1.48000014      0.209100664    
   1.49000013      0.588902950    	   1.49000013      0.381130993    	   1.49000013      0.209572077    
   1.50000012      0.587844729    	   1.50000012      0.382038713    	   1.50000012      0.206461802    
   1.51000011      0.586776078    	   1.51000011      0.382962137    	   1.51000011      0.219713539    
   1.52000010      0.585738599    	   1.52000010      0.383871228    	   1.52000010      0.214621127    
   1.53000009      0.584716678    	   1.53000009      0.384752780    	   1.53000009      0.221599206    
   1.54000008      0.583731055    	   1.54000008      0.385603040    	   1.54000008      0.212732747    
   1.55000007      0.582480848    	   1.55000007      0.386715770    	   1.55000007      0.201793134    
   1.56000006      0.581298113    	   1.56000006      0.387764663    	   1.56000006      0.202075973    
   1.57000005      0.580353975    	   1.57000005      0.388557523    	   1.57000005      0.210941359    
   1.58000016      0.579238713    	   1.58000016      0.389542848    	   1.58000016      0.205047548    
   1.59000015      0.578429461    	   1.59000015      0.390212625    	   1.59000015      0.191182956    
   1.60000014      0.577563107    	   1.60000014      0.390920281    	   1.60000014      0.199151024    
   1.61000013      0.576655328    	   1.61000013      0.391692251    	   1.61000013      0.200423300    
   1.62000012      0.575311780    	   1.62000012      0.392909616    	   1.62000012      0.188635126    
   1.63000011      0.574398756    	   1.63000011      0.393710136    	   1.63000011      0.194434658    
   1.64000010      0.573926687    	   1.64000010      0.394048721    	   1.64000010      0.189626738    
   1.65000010      0.572832167    	   1.65000010      0.395052701    	   1.65000010      0.188305676    
   1.66000009      0.571498990    	   1.66000009      0.396277964    	   1.66000009      0.183965921    
   1.67000008      0.570720851    	   1.67000008      0.396912664    	   1.67000008      0.179912269    
   1.68000007      0.569698930    	   1.68000007      0.397793472    	   1.68000007      0.177741587    
   1.69000018      0.568734050    	   1.69000018      0.398606092    	   1.69000018      0.177551389    
   1.70000017      0.568023384    	   1.70000017      0.399161428    	   1.70000017      0.187691212    
   1.71000016      0.567349017    	   1.71000016      0.399690002    	   1.71000016      0.189862445    
   1.72000015      0.566653848    	   1.72000015      0.400245368    	   1.72000015      0.174347371    
   1.73000014      0.565460742    	   1.73000014      0.401295364    	   1.73000014      0.185004130    
   1.74000013      0.564604819    	   1.74000013      0.402008086    	   1.74000013      0.177459821    
   1.75000012      0.563780010    	   1.75000012      0.402693421    	   1.75000012      0.178591758    
   1.76000011      0.562488317    	   1.76000011      0.403867900    	   1.76000011      0.187880859    
   1.77000010      0.561658323    	   1.77000010      0.404559404    	   1.77000010      0.186136067    
   1.78000009      0.560657144    	   1.78000009      0.405444711    	   1.78000009      0.198161036    
   1.79000008      0.559837520    	   1.79000008      0.406132579    	   1.79000008      0.185666278    
   1.80000007      0.558898568    	   1.80000007      0.406937182    	   1.80000007      0.188448727    
   1.81000018      0.557855904    	   1.81000018      0.407834619    	   1.81000018      0.182363093    
   1.82000017      0.557134867    	   1.82000017      0.408441246    	   1.82000017      0.173498809    
   1.83000016      0.555983245    	   1.83000016      0.409467876    	   1.83000016      0.188021749    
