   1.00000012     -0.444004625    	   1.00000012      -1.08600569    	   1.00000012      -1.44700158    
   1.01000011     -0.446044624    	   1.01000011      -1.08282864    	   1.01000011      -1.47463942    
   1.02000010     -0.448714197    	   1.02000010      -1.07841218    	   1.02000010      -1.44640064    
   1.03000009     -0.450194091    	   1.03000009      -1.07627821    	   1.03000009      -1.45587087    
   1.04000008     -0.451643497    	   1.04000008      -1.07411873    	   1.04000008      -1.39202297    
   1.05000007     -0.453388929    	   1.05000007      -1.07156038    	   1.05000007      -1.41602600    
   1.06000006     -0.454646885    	   1.06000006      -1.06988502    	   1.06000006      -1.43011808    
   1.07000005     -0.456757843    	   1.07000005      -1.06664324    	   1.07000005      -1.43565214    
   1.08000004     -0.458897918    	   1.08000004      -1.06331730    	   1.08000004      -1.51479948    
   1.09000003     -0.461717337    	   1.09000003      -1.05873084    	   1.09000003      -1.45808768    
   1.10000002     -0.463348478    	   1.10000002      -1.05637348    	   1.10000002      -1.43365932    
   1.11000013     -0.464841962    	   1.11000013      -1.05426466    	   1.11000013      -1.45686817    
   1.12000012     -0.466775984    	   1.12000012      -1.05139732    	   1.12000012      -1.43069577    
   1.13000011     -0.468390554    	   1.13000011      -1.04920554    	   1.13000011      -1.51478970    
   1.14000010     -0.470281750    	   1.14000010      -1.04644346    	   1.14000010      -1.55795681    
   1.15000010     -0.472226351    	   1.15000010      -1.04359734    	   1.15000010      -1.55952263    
   1.16000009     -0.473841429    	   1.16000009      -1.04131424    	   1.16000009      -1.48643804    
   1.17000008     -0.475434065    	   1.17000008      -1.03899157    	   1.17000008      -1.48165560    
   1.18000007     -0.476552933    	   1.18000007      -1.03749406    	   1.18000007      -1.51178002    
   1.19000006     -0.477840364    	   1.19000006      -1.03571689    	   1.19000006      -1.50071502    
   1.20000005     -0.480395079    	   1.20000005      -1.03179216    	   1.20000005      -1.52188826    
   1.21000004     -0.482897401    	   1.21000004      -1.02804327    	   1.21000004      -1.54526877    
   1.22000003     -0.484765649    	   1.22000003      -1.02540302    	   1.22000003      -1.50794423    
   1.23000014     -0.486451715    	   1.23000014      -1.02297926    	   1.23000014      -1.49272263    
   1.24000013     -0.488149166    	   1.24000013      -1.02063096    	   1.24000013      -1.40922999    
   1.25000012     -0.489815593    	   1.25000012      -1.01833165    	   1.25000012      -1.39962912    
   1.26000011     -0.491408467    	   1.26000011      -1.01606655    	   1.26000011      -1.48603570    
   1.27000010     -0.493411601    	   1.27000010      -1.01305783    	   1.27000010      -1.56155825    
   1.28000009     -0.495359182    	   1.28000009      -1.01020300    	   1.28000009      -1.57149637    
   1.29000008     -0.497788370    	   1.29000008      -1.00655210    	   1.29000008      -1.59190023    
   1.30000007     -0.499676138    	   1.30000007      -1.00393105    	   1.30000007      -1.59585881    
   1.31000006     -0.501242042    	   1.31000006      -1.00192595    	   1.31000006      -1.60590255    
   1.32000005     -0.502450168    	   1.32000005      -1.00047362    	   1.32000005      -1.62920058    
   1.33000004     -0.503779948    	   1.33000004     -0.998762071    	   1.33000004      -1.63475382    
   1.34000015     -0.505051374    	   1.34000015     -0.997140944    	   1.34000015      -1.69300187    
   1.35000014     -0.506582618    	   1.35000014     -0.995129585    	   1.35000014      -1.79804850    
   1.36000013     -0.508090377    	   1.36000013     -0.993151724    	   1.36000013      -1.74914837    
   1.37000012     -0.509367347    	   1.37000012     -0.991550684    	   1.37000012      -1.74589789    
   1.38000011     -0.511225104    	   1.38000011     -0.988961279    	   1.38000011      -1.71318889    
   1.39000010     -0.512471437    	   1.39000010     -0.987479806    	   1.39000010      -1.64373338    
   1.40000010     -0.513571858    	   1.40000010     -0.986169994    	   1.40000010      -1.67522311    
   1.41000009     -0.515541792    	   1.41000009     -0.983479679    	   1.41000009      -1.66519547    
   1.42000008     -0.517184913    	   1.42000008     -0.981305540    	   1.42000008      -1.67321122    
   1.43000007     -0.518787205    	   1.43000007     -0.979135513    	   1.43000007      -1.63088775    
   1.44000006     -0.521064341    	   1.44000006     -0.975878298    	   1.44000006      -1.61179173    
