 # t (ps)        h(t)        n(t)    
   5.00000024E-04   19.8810024       2.82971170E-02
 # t (ps)        h(t)        n(t)    
   1.00000005E-03   9.87086105       3.30772400E-02
 # t (ps)        h(t)        n(t)    
   1.50000001E-03   9.67358971       3.77618298E-02
 # t (ps)        h(t)        n(t)    
   2.00000009E-03   9.52376556       4.23738807E-02
 # t (ps)        h(t)        n(t)    
   2.50000018E-03   9.32574368       4.68900315E-02
 # t (ps)        h(t)        n(t)    
   3.00000003E-03   8.95149994       5.12249321E-02
 # t (ps)        h(t)        n(t)    
   3.50000011E-03   8.68850040       5.54324724E-02
 # t (ps)        h(t)        n(t)    
   4.00000019E-03   8.26478672       5.94348274E-02
 # t (ps)        h(t)        n(t)    
   4.50000027E-03   7.93643665       6.32781535E-02
 # t (ps)        h(t)        n(t)    
   5.00000035E-03   7.49506521       6.69077709E-02
 # t (ps)        h(t)        n(t)    
   5.50000044E-03   7.56691265       7.05722347E-02
 # t (ps)        h(t)        n(t)    
   6.00000005E-03   7.52632809       7.42169768E-02
 # t (ps)        h(t)        n(t)    
   6.50000013E-03   7.13149977       7.76704550E-02
 # t (ps)        h(t)        n(t)    
   7.00000022E-03   6.94535208       8.10338855E-02
 # t (ps)        h(t)        n(t)    
   7.50000030E-03   7.16210699       8.45022351E-02
 # t (ps)        h(t)        n(t)    
   8.00000038E-03   6.99175978       8.78881067E-02
 # t (ps)        h(t)        n(t)    
   8.50000046E-03   7.09585619       9.13243890E-02
 # t (ps)        h(t)        n(t)    
   9.00000054E-03   7.03836727       9.47328284E-02
 # t (ps)        h(t)        n(t)    
   9.50000063E-03   6.86737680       9.80584621E-02
 # t (ps)        h(t)        n(t)    
   1.00000007E-02   6.84195471      0.101371787    
 # t (ps)        h(t)        n(t)    
   1.05000008E-02   6.68664885      0.104609899    
 # t (ps)        h(t)        n(t)    
   1.10000009E-02   6.85594416      0.107930005    
 # t (ps)        h(t)        n(t)    
   1.15000010E-02   6.44012833      0.111048743    
 # t (ps)        h(t)        n(t)    
   1.20000001E-02   6.18624973      0.114044532    
 # t (ps)        h(t)        n(t)    
   1.25000002E-02   6.12741375      0.117011830    
 # t (ps)        h(t)        n(t)    
   1.30000003E-02   5.90532398      0.119871579    
 # t (ps)        h(t)        n(t)    
   1.35000004E-02   5.86239767      0.122710541    
 # t (ps)        h(t)        n(t)    
   1.40000004E-02   5.67227125      0.125457481    
 # t (ps)        h(t)        n(t)    
