#Lifetime init (step) / Lifetime end (step) / Occurence of the lifetime / full system{ z-minimum (Ang) / 1st decile (Ang) / 1st quartile / z-median (Ang) / 3rd quartile (Ang) / 9th decile (Ang) / z-maximum (Ang) / z-average (Ang)} / Occurence on the first half (max over both half and over time=1) / First half{idem} / Occurence on the second half / Second half{ idem } / Symmetry applied {idem}
17	17	   0.10811   13.12351   13.12419   13.12809   13.14114   13.17019   13.20291   13.20671   13.15286	   1.00000   13.12351   13.12419   13.12809   13.14114   13.17019   13.20291   13.20671   13.15286	   0.00000          x          x          x          x          x          x          x          x	  13.12351   13.12419   13.12809   13.14114   13.17019   13.20291   13.20671   13.15286	
18	18	   0.13514   12.30699   12.31390   13.12714   13.17155   13.19381   13.20144   13.20621   13.00154	   1.00000   12.30699   12.31390   13.12714   13.17155   13.19381   13.20144   13.20621   13.00154	   0.00000          x          x          x          x          x          x          x          x	  12.30699   12.31390   13.12714   13.17155   13.19381   13.20144   13.20621   13.00154	
19	19	   0.18919   12.29904   12.31297   13.19643   21.46228   25.13474   26.88151   26.89509   20.69457	   0.28571   12.29904   12.30418   12.31020   12.74787   13.18808   13.19690   13.20155   12.74939	   0.71429   21.44626   21.45443   21.45878   24.41192   25.15903   26.88471   26.89509   23.87264	  12.29904   12.31297   13.19643   15.15398   18.83622   18.84359   18.85374   15.37651	
20	20	   0.05405   21.48009   21.49098   21.50421   23.34927   25.19348   25.20749   25.21609   23.34905	   0.00000          x          x          x          x          x          x          x          x	   1.00000   21.48009   21.49098   21.50421   23.34927   25.19348   25.20749   25.21609   23.34905	  15.08391   15.09251   15.10652   16.95073   18.79579   18.80902   18.81991   16.95095	
29	29	   0.02703   25.06083   25.06764   25.07625   25.08544   25.09114   25.09349   25.09410   25.08273	   0.00000          x          x          x          x          x          x          x          x	   1.00000   25.06083   25.06764   25.07625   25.08544   25.09114   25.09349   25.09410   25.08273	  15.20590   15.20651   15.20886   15.21456   15.22375   15.23236   15.23917   15.21727	
40	40	   0.02703   13.14232   13.14556   13.15305   13.17310   13.18205   13.18973   13.19294   13.16908	   1.00000   13.14232   13.14556   13.15305   13.17310   13.18205   13.18973   13.19294   13.16908	   0.00000          x          x          x          x          x          x          x          x	  13.14232   13.14556   13.15305   13.17310   13.18205   13.18973   13.19294   13.16908	
41	41	   0.02703   25.22164   25.22863   25.24182   25.26904   25.29946   25.32098   25.33465   25.27198	   0.00000          x          x          x          x          x          x          x          x	   1.00000   25.22164   25.22863   25.24182   25.26904   25.29946   25.32098   25.33465   25.27198	  14.96535   14.97902   15.00054   15.03096   15.05818   15.07137   15.07836   15.02802	
61	61	   0.02703   13.17191   13.17244   13.17414   13.18250   13.19160   13.19248   13.19357   13.18267	   1.00000   13.17191   13.17244   13.17414   13.18250   13.19160   13.19248   13.19357   13.18267	   0.00000          x          x          x          x          x          x          x          x	  13.17191   13.17244   13.17414   13.18250   13.19160   13.19248   13.19357   13.18267	
99	99	   0.02703   26.89758   26.91732   26.94374   27.01234   27.06569   27.07678   27.07897   27.00282	   0.00000          x          x          x          x          x          x          x          x	   1.00000   26.89758   26.91732   26.94374   27.01234   27.06569   27.07678   27.07897   27.00282	  13.22103   13.22322   13.23430   13.28766   13.35625   13.38268   13.40242   13.29718	
132	132	   0.02703   21.52634   21.54383   21.55888   21.57550   21.59248   21.60260   21.60668   21.57366	   0.00000          x          x          x          x          x          x          x          x	   1.00000   21.52634   21.54383   21.55888   21.57550   21.59248   21.60260   21.60668   21.57366	  18.69332   18.69740   18.70751   18.72449   18.74112   18.75617   18.77366   18.72634	
181	182	   0.02703   21.50647   21.62347   21.80521   22.04048   22.16939   22.18827   22.19509   21.97088	   0.00000          x          x          x          x          x          x          x          x	   1.00000   21.50647   21.62347   21.80521   22.04048   22.16939   22.18827   22.19509   21.97088	  18.10491   18.11173   18.13061   18.25952   18.49479   18.67653   18.79353   18.32912	
206	207	   0.02703   12.91386   12.95952   13.04204   13.09989   13.14734   13.18930   13.19478   13.08807	   1.00000   12.91386   12.95952   13.04204   13.09989   13.14734   13.18930   13.19478   13.08807	   0.00000          x          x          x          x          x          x          x          x	  12.91386   12.95952   13.04204   13.09989   13.14734   13.18930   13.19478   13.08807	
223	224	   0.02703   12.88638   12.89100   12.92075   13.03974   13.18300   13.20249   13.20563   13.04680	   1.00000   12.88638   12.89100   12.92075   13.03974   13.18300   13.20249   13.20563   13.04680	   0.00000          x          x          x          x          x          x          x          x	  12.88638   12.89100   12.92075   13.03974   13.18300   13.20249   13.20563   13.04680	
518	522	   0.02703   12.20697   12.21788   12.25352   12.29170   12.34026   12.38869   12.39845   12.29666	   1.00000   12.20697   12.21788   12.25352   12.29170   12.34026   12.38869   12.39845   12.29666	   0.00000          x          x          x          x          x          x          x          x	  12.20697   12.21788   12.25352   12.29170   12.34026   12.38869   12.39845   12.29666	
561	565	   0.02703   24.37473   24.38201   24.40219   24.52735   24.57709   24.89063   25.05270   24.55795	   0.00000          x          x          x          x          x          x          x          x	   1.00000   24.37473   24.38201   24.40219   24.52735   24.57709   24.89063   25.05270   24.55795	  15.24730   15.40937   15.72291   15.77265   15.89781   15.91799   15.92527   15.74205	
877	885	   0.02703   24.35812   24.39038   24.44443   24.52974   24.60133   24.77795   24.82862   24.54372	   0.00000          x          x          x          x          x          x          x          x	   1.00000   24.35812   24.39038   24.44443   24.52974   24.60133   24.77795   24.82862   24.54372	  15.47138   15.52205   15.69866   15.77026   15.85557   15.90962   15.94188   15.75628	
931	939	   0.02703   12.19179   12.25479   12.54123   12.70122   12.80219   12.82841   12.84663   12.64093	   1.00000   12.19179   12.25479   12.54123   12.70122   12.80219   12.82841   12.84663   12.64093	   0.00000          x          x          x          x          x          x          x          x	  12.19179   12.25479   12.54123   12.70122   12.80219   12.82841   12.84663   12.64093	
988	997	   0.02703   12.49352   12.56388   12.63261   12.71661   12.97213   13.08937   13.17988   12.78564	   1.00000   12.49352   12.56388   12.63261   12.71661   12.97213   13.08937   13.17988   12.78564	   0.00000          x          x          x          x          x          x          x          x	  12.49352   12.56388   12.63261   12.71661   12.97213   13.08937   13.17988   12.78564	
1267	1279	   0.02703   12.71636   12.76369   12.86929   13.37334   13.68767   13.75118   13.79747   13.30678	   1.00000   12.71636   12.76369   12.86929   13.37334   13.68767   13.75118   13.79747   13.30678	   0.00000          x          x          x          x          x          x          x          x	  12.71636   12.76369   12.86929   13.37334   13.68767   13.75118   13.79747   13.30678	
1293	1305	   0.02703   21.16184   21.26442   21.36057   21.47671   21.50113   21.53659   21.62223   21.43686	   0.00000          x          x          x          x          x          x          x          x	   1.00000   21.16184   21.26442   21.36057   21.47671   21.50113   21.53659   21.62223   21.43686	  18.67777   18.76341   18.79887   18.82329   18.93943   19.03558   19.13816   18.86314	
1319	1331	   0.02703   21.55417   21.64111   21.86317   22.10921   22.24522   22.45682   22.54368   22.06209	   0.00000          x          x          x          x          x          x          x          x	   1.00000   21.55417   21.64111   21.86317   22.10921   22.24522   22.45682   22.54368   22.06209	  17.75632   17.84318   18.05478   18.19079   18.43683   18.65889   18.74583   18.23791	
1372	1385	   0.02703   25.90159   26.29116   26.45856   26.61479   26.84441   26.92296   27.02572   26.61325	   0.00000          x          x          x          x          x          x          x          x	   1.00000   25.90159   26.29116   26.45856   26.61479   26.84441   26.92296   27.02572   26.61325	  13.27428   13.37703   13.45559   13.68521   13.84144   14.00883   14.39841   13.68675	
1414	1427	   0.02703   24.41500   24.51955   24.59161   24.66468   24.71518   25.05589   25.11612   24.69191	   0.00000          x          x          x          x          x          x          x          x	   1.00000   24.41500   24.51955   24.59161   24.66468   24.71518   25.05589   25.11612   24.69191	  15.18388   15.24411   15.58482   15.63531   15.70839   15.78045   15.88500   15.60809	
0	32625	   1.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	         x          x          x          x          x          x          x          x	
0	32625	   1.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	         x          x          x          x          x          x          x          x	
0	32625	   1.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	         x          x          x          x          x          x          x          x	
0	200	   0.67568          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	   0.00000          x          x          x          x          x          x          x          x	         x          x          x          x          x          x          x          x	
