   1.00000000      -5.04623838E-02 -0.788945436     -0.738483071    
   2.00000000     -0.150871411       9.18261055E-03  0.160054028    
   3.00000000     -0.249743864      0.101761192      0.351505041    
   4.00000000     -0.346069515      0.111077137      0.457146645    
   5.00000000     -0.438867599      0.112017617      0.550885201    
   6.00000000     -0.527191103      0.112112604      0.639303684    
   7.00000000     -0.610140681      0.112122200      0.722262859    
   8.00000000     -0.686870158      0.112123169      0.798993349    
   9.00000000     -0.756597042      0.112123266      0.868720293    
   10.0000000     -0.818611562      0.112123281      0.930734873    
   11.0000000     -0.872280777      0.112123281      0.984404087    
   12.0000000     -0.917058229      0.112123281       1.02918148    
   13.0000000     -0.952484965      0.112123281       1.06460822    
   14.0000000     -0.978202820      0.112123281       1.09032607    
   15.0000000     -0.993948638      0.112123281       1.10607195    
   16.0000000     -0.999561548      0.112123281       1.11168480    
   17.0000000     -0.994984686      0.112123281       1.10710800    
   18.0000000     -0.980264544      0.112123281       1.09238780    
   19.0000000     -0.955551326      0.112123281       1.06767464    
   20.0000000     -0.921096802      0.112123281       1.03322005    
   21.0000000     -0.877251923      0.112123281      0.989375234    
   22.0000000     -0.824464619      0.112123281      0.936587930    
   23.0000000     -0.763272107      0.112123281      0.875395417    
   24.0000000     -0.694300473      0.112123281      0.806423783    
   25.0000000     -0.618247271      0.112123281      0.730370522    
   26.0000000     -0.535892487      0.112123281      0.648015738    
   27.0000000     -0.448075891      0.112123281      0.560199142    
   28.0000000     -0.355690867      0.112123281      0.467814147    
   29.0000000     -0.259679139      0.112123281      0.371802419    
   30.0000000     -0.161021486      0.112123281      0.273144782    
   31.0000000      -6.07216209E-02  0.112123281      0.172844902    
   32.0000000       4.01978381E-02  0.112123281       7.19254464E-02
   33.0000000      0.140706599      0.112123281      -2.85833180E-02
   34.0000000      0.239781439      0.112123281     -0.127658159    
   35.0000000      0.336411566      0.112123281     -0.224288285    
   36.0000000      0.429612100      0.112123281     -0.317488819    
   37.0000000      0.518433630      0.112123281     -0.406310350    
   38.0000000      0.601969123      0.112123281     -0.489845842    
   39.0000000      0.679368973      0.112123281     -0.567245722    
   40.0000000      0.749842346      0.112123281     -0.637719035    
   41.0000000      0.812674105      0.112123281     -0.700550795    
   42.0000000      0.867214561      0.112123281     -0.755091310    
   43.0000000      0.912922919      0.112123281     -0.800799608    
   44.0000000      0.949315906      0.112123281     -0.837192655    
   45.0000000      0.976040006      0.112123281     -0.863916755    
   46.0000000      0.992805004      0.112123281     -0.880681753    
   47.0000000      0.999458313      0.112123281     -0.887335062    
   48.0000000      0.995917916      0.112123281     -0.883794665    
   49.0000000      0.982220411      0.112123281     -0.870097160    
   50.0000000      0.958518744      0.112123281     -0.846395493    
   51.0000000      0.925036788      0.112123281     -0.812913537    
   52.0000000      0.882133424      0.112123281     -0.770010114    
   53.0000000      0.830228567      0.112123281     -0.718105316    
   54.0000000      0.769868076      0.112123281     -0.657744765    
   55.0000000      0.701651812      0.112123281     -0.589528561    
   56.0000000      0.626290143      0.112123281     -0.514166832    
   57.0000000      0.544536650      0.112123281     -0.432413369    
   58.0000000      0.457238168      0.112123281     -0.345114887    
   59.0000000      0.365273863      0.112123281     -0.253150582    
   60.0000000      0.269588470      0.112123281     -0.157465190    
   61.0000000      0.171153262      0.112123281      -5.90299815E-02
   62.0000000       7.09743649E-02  0.112123281       4.11489159E-02
   63.0000000      -2.99279820E-02  0.112123281      0.142051265    
   64.0000000     -0.130527020      0.112123281      0.242650300    
   65.0000000     -0.229794234      0.112123281      0.341917515    
   66.0000000     -0.326717645      0.112123281      0.438840926    
   67.0000000     -0.420312941      0.112123281      0.532436252    
   68.0000000     -0.509620070      0.112123281      0.621743321    
   69.0000000     -0.593736291      0.112123281      0.705859542    
   70.0000000     -0.671794593      0.112123281      0.783917904    
   71.0000000     -0.743010342      0.112123281      0.855133653    
   72.0000000     -0.806644619      0.112123281      0.918767929    
   73.0000000     -0.862063110      0.112123281      0.974186420    
   74.0000000     -0.908685505      0.112123281       1.02080882    
   75.0000000     -0.946053028      0.112123281       1.05817628    
   76.0000000     -0.973767459      0.112123281       1.08589077    
   77.0000000     -0.991563618      0.112123281       1.10368693    
   78.0000000     -0.999242425      0.112123281       1.11136568    
   79.0000000     -0.996743739      0.112123281       1.10886705    
   80.0000000     -0.984074771      0.112123281       1.09619808    
   81.0000000     -0.961382687      0.112123281       1.07350600    
   82.0000000     -0.928885639      0.112123281       1.04100895    
   83.0000000     -0.886918724      0.112123281      0.999042034    
   84.0000000     -0.835902810      0.112123281      0.948026061    
   85.0000000     -0.776381433      0.112123281      0.888504744    
   86.0000000     -0.708936393      0.112123281      0.821059704    
   87.0000000     -0.634264529      0.112123281      0.746387839    
   88.0000000     -0.553122401      0.112123281      0.665245652    
   89.0000000     -0.466350853      0.112123281      0.578474164    
   90.0000000     -0.374820262      0.112123281      0.486943543    
   91.0000000     -0.279468864      0.112123281      0.391592145    
   92.0000000     -0.181266740      0.112123281      0.293390036    
   93.0000000      -8.12200233E-02  0.112123281      0.193343312    
   94.0000000       1.96569450E-02  0.112123281       9.24663395E-02
   95.0000000      0.120332696      0.112123281      -8.20941478E-03
   96.0000000      0.219782844      0.112123281     -0.107659563    
   97.0000000      0.316987693      0.112123281     -0.204864413    
   98.0000000      0.410968333      0.112123281     -0.298845053    
   99.0000000      0.500756443      0.112123281     -0.388633162    
   100.000000       0.00000000      0.112123281      0.112123281    
